club,aim_offset,mean_birdie_prob,var_birdie_prob
H 54 deg,-16.0,0.0012230212489763896,6.138287789713272e-06
H 54 deg,-14.0,0.0013892695307731629,8.381095105631044e-06
H 54 deg,-12.0,0.002193641662597656,8.78560283357051e-06
H 54 deg,-10.0,0.0013995394110679626,5.814365016828157e-06
H 54 deg,-8.0,0.0015392194191614786,7.827955073168702e-06
H 54 deg,-6.0,0.0007768596212069193,5.52921856744727e-06
H 54 deg,-4.0,0.0005071128408114116,5.308078069438977e-06
H 54 deg,-2.0,0.0014990111192067464,8.024557051095923e-06
H 54 deg,0.0,0.0018482327461242676,7.3800928966605285e-06
H 54 deg,2.0,0.001506941020488739,7.633146223338105e-06
H 54 deg,4.0,0.0024002328515052795,1.2080568206797409e-05
H 54 deg,6.0,0.0021490896741549175,1.3466444612197681e-05
H 54 deg,8.0,0.0018920049071311951,6.547839560439399e-06
H 54 deg,10.0,0.0026256059606870013,2.3968808882523074e-05
H 54 deg,12.0,0.00040185203154881793,5.592969787513201e-06
H 54 deg,14.0,0.0011203954617182413,4.180309524799914e-06
H 54 deg,16.0,0.0009643023212750752,4.478659634187377e-06
H 54 deg,18.0,0.0011093358198801676,6.96115560200599e-06
H 54 deg,20.0,0.0018588667114575704,1.5245795693196297e-05
H 60 deg,-20.0,0.03021088068683942,0.00013116300055010776
H 60 deg,-18.0,0.03449727942546209,0.00016862780297631676
H 60 deg,-16.0,0.031757590174674985,0.00011410556501095274
H 60 deg,-14.0,0.031128688404957455,8.575385802512487e-05
H 60 deg,-12.0,0.032081311692794164,0.00019748412060630117
H 60 deg,-10.0,0.03202457924683889,0.00015934375786737302
H 60 deg,-8.0,0.026835486789544425,7.34904079089898e-05
H 60 deg,-6.0,0.033003232131401695,0.0001386566826150129
H 60 deg,-4.0,0.03189766009648641,0.00017235487220820515
H 60 deg,-2.0,0.02875958432753881,0.00012622090571378432
H 60 deg,0.0,0.029399407903353374,5.6150453302124484e-05
H 60 deg,2.0,0.02754459356268247,0.00011946985917336259
H 60 deg,4.0,0.031090220808982848,0.0001454335216520586
H 60 deg,6.0,0.03329342529177666,6.616769745760994e-05
H 60 deg,8.0,0.030488818883895874,0.0001018038387321174
H 60 deg,10.0,0.0346660315990448,0.00013220190869341528
H 60 deg,12.0,0.033086938162644706,0.00010922074462892146
H 60 deg,14.0,0.03511227394143741,0.00014710589130711806
H 60 deg,16.0,0.0311715600391229,0.0001742320613748737
H 60 deg,18.0,0.031265183538198474,0.00010130612932355787
H 60 deg,20.0,0.027220751096804937,0.0001077475641274194
Hybrid,-20.0,0.16570384353399276,0.0004100289037577073
Hybrid,-18.0,0.17553411821524303,0.0003874732647603175
Hybrid,-16.0,0.1719120090206464,0.0004220781454479384
Hybrid,-14.0,0.167391150444746,0.0004298661538001119
Hybrid,-12.0,0.18015953103701274,0.0001568251918170965
Hybrid,-10.0,0.17233767459789912,0.0002822695053852011
Hybrid,-8.0,0.17535140017668407,0.00024148593848716162
Hybrid,-6.0,0.16906567911307016,0.0005056805072829068
Hybrid,-4.0,0.17043876101573308,0.0004719791792519465
Hybrid,-2.0,0.1752842163046201,0.00035044507051695047
Hybrid,0.0,0.17132708032925922,0.00027297344467861747
Hybrid,2.0,0.17015279233455657,0.0004617648346259381
Hybrid,4.0,0.17113094925880432,0.00035159785199889867
Hybrid,6.0,0.16640447080135345,0.0003625506243089068
Hybrid,8.0,0.16845931559801103,0.00041524161792338456
Hybrid,10.0,0.1687034805615743,0.0003313371179251817
Hybrid,12.0,0.16438705027103423,0.0005063422538181801
Hybrid,14.0,0.16985056400299073,0.0005483903579515204
Hybrid,16.0,0.167521504064401,0.0006420312850686721
Hybrid,18.0,0.16003442754348118,0.0006993404455705174
Hybrid,20.0,0.15018414656321208,0.0007182835198268083
PW,-20.0,0.021611376603444418,0.0004916163583424088
PW,-18.0,0.022566598653793336,0.00028611758892684713
PW,-16.0,0.03090430423617363,0.00038173634118065977
PW,-14.0,0.023430292805035908,0.000581180866799089
PW,-12.0,0.027100709825754167,0.00037820416269209036
PW,-10.0,0.02928018420934677,0.0005317381780700973
PW,-8.0,0.03387743085622787,0.0004133380850734683
PW,-6.0,0.031126904487609863,0.0004854128631966349
PW,-4.0,0.03166928937037786,0.0004688319686312704
PW,-2.0,0.038385260850191116,0.0005004584366243135
PW,0.0,0.03668085808555285,0.0004776921260491624
PW,2.0,0.03283243030309677,0.0002579008457831966
PW,4.0,0.03960093706846237,0.0005193083062880888
PW,6.0,0.03860235686103503,0.0005321350436631123
PW,8.0,0.02819571296374003,0.000584242763861878
