x,y,N,club_1,aim_1,esho_1,se_1,freq_1,club_2,aim_2,esho_2,freq_2,delta_esho,functionally_equivalent
-40.0,102.00831623410932,30,Driver,6,3.9912848813193187,0.039879634113695106,7,Driver,-16,3.9841724804469516,7,0.007112400872367086,True
-40.0,102.00831623410932,50,Driver,-2,3.988025486469269,0.028471758411725816,8,4 Iron,20,4.00762215256691,8,0.01959666609764099,True
-40.0,102.00831623410932,100,4 Iron,20,4.024505659937859,0.01379677450232148,16,Hybrid,20,4.0239576896031695,12,0.0005479703346891185,True
-40.0,102.00831623410932,150,Hybrid,20,4.028346488873164,0.011065665131257054,24,4 Iron,20,4.029266497668098,17,0.0009200087949334801,True
-40.0,102.00831623410932,200,Hybrid,20,4.032150910450862,0.009531496678860638,26,4 Iron,20,4.033110367624383,19,0.0009594571735211943,True
-40.0,102.00831623410932,250,Hybrid,20,4.034053607420488,0.008562626306913863,33,4 Iron,20,4.033148169517517,24,0.0009054379029711512,True
-40.0,102.00831623410932,300,Hybrid,20,4.034872782857795,0.007847854692364702,38,4 Iron,20,4.035338229146497,29,0.00046544628870215377,True
-40.0,110.67636893979422,10,Driver,-16,3.860861246402447,0.05902651271781806,13,Driver,-20,3.850823402404785,11,0.010037843997662055,True
-40.0,110.67636893979422,20,Driver,-20,3.908587030002049,0.05548304845071504,14,Driver,-14,3.911561747392019,12,0.0029747173899696833,True
-40.0,110.67636893979422,30,Driver,-20,3.9283403873443605,0.05509069681040963,15,Driver,-14,3.934937460081918,14,0.006597072737557497,True
-40.0,110.67636893979422,50,Driver,-20,3.95994313955307,0.04111512001075692,20,Driver,-16,3.9747185866038004,15,0.014775447050730417,True
-40.0,110.67636893979422,100,Driver,-20,3.992632428805033,0.03198291275385406,30,Driver,-18,3.9919377432929144,18,0.00069468551211882,True
-40.0,110.67636893979422,150,Driver,-20,4.004395365715027,0.027424427258065594,34,Driver,-18,4.006994387682746,17,0.0025990219677192172,True
-40.0,110.67636893979422,200,Driver,-20,4.009962951814806,0.024244148029056972,37,Driver,-16,4.014452111721039,20,0.004489159906232665,True
-40.0,110.67636893979422,250,Driver,-20,4.008953750133514,0.021819970019992557,36,Driver,-18,4.017637747305411,27,0.008683997171896607,True
-40.0,110.67636893979422,300,Driver,-20,4.015189236782967,0.02033474145958194,47,Driver,-18,4.016101102034251,24,0.0009118652512842829,True
-40.0,119.3444216454791,10,Driver,-20,3.775879176457723,0.08824287817731015,15,Driver,-16,3.7870549055246205,13,0.011175729066897677,True
-40.0,119.3444216454791,20,Driver,-20,3.84740458215986,0.06835508404453719,21,Driver,-16,3.8648229281107587,15,0.01741834595089875,True
-40.0,119.3444216454791,30,Driver,-20,3.8879776318868,0.06818866443649883,30,Driver,-18,3.8784362418310985,14,0.009541390055701537,True
-40.0,119.3444216454791,50,Driver,-20,3.918483762180104,0.05558481498115624,34,Driver,-18,3.9150221222325374,19,0.0034616399475666526,True
-40.0,119.3444216454791,100,Driver,-20,3.9411709921700613,0.04083051033949988,35,Driver,-18,3.9330598332665185,22,0.008111158903542748,True
-40.0,119.3444216454791,150,Driver,-20,3.9560760840391502,0.03389129348461595,39,Driver,-18,3.9488655584199086,28,0.007210525619241626,True
-40.0,119.3444216454791,200,Driver,-20,3.9620716863748977,0.030044294668855033,49,Driver,-18,3.960989157358805,30,0.001082529016092515,True
